区分け,初期位置,x,y,initial-position,named-position,position
C,25,503,1718,25,C-2,2p
C,26,503,1720,26,C-3,2p
C,26,503,1721,26,C-3,2p
C,27,503,1722,27,C-4,2p
C,27,503,1723,27,C-4,2p
C,28,503,1725,28,C-5,2p
C,29,503,1727,29,C-6,2p
C,30,503,1729,30,C-7,2p
C,31,503,1731,31,C-8,2p
C,32,503,1733,32,C-9,2p
C,33,503,1735,33,C-10,2p
C,34,503,1737,34,C-11,2p
C,35,503,1739,35,C-12,2p
C,36,503,1741,36,C-13,2p
C,37,503,1743,37,C-14,2p
D,38,503,1745,38,D-1,2p
D,39,503,1747,39,D-2,2p
D,40,503,1749,40,D-3,2p
D,40,503,1750,40,D-3,2p
D,41,503,1751,41,D-4,2p
D,41,503,1752,41,D-4,2p
D,42,503,1753,42,D-5,2p
D,42,503,1754,42,D-5,2p
D,43,503,1755,43,D-6,2p
D,43,503,1756,43,D-6,2p
D,44,503,1758,44,D-7,2p
D,45,503,1760,45,D-8,2p
D,46,503,1762,46,D-9,2p
D,47,503,1764,47,D-10,2p
D,48,503,1766,48,D-11,2p
D,49,503,1768,49,D-12,2p
D,50,503,1770,50,D-13,2p
D,51,503,1772,51,D-14,2p
E,52,503,1774,52,E-1,2p
E,53,503,1776,53,E-2,2p
E,54,503,1778,54,E-3,2p
E,55,503,1780,55,E-4,2p
E,55,503,1781,55,E-4,2p
E,56,503,1782,56,E-5,2p
E,56,503,1783,56,E-5,2p
E,57,503,1784,57,E-6,2p
E,57,503,1785,57,E-6,2p
E,58,503,1786,58,E-7,2p
E,58,503,1787,58,E-7,2p
E,59,503,1789,59,E-8,2p
E,60,503,1791,60,E-9,2p
E,61,503,1793,61,E-10,2p
E,62,503,1795,62,E-11,2p
E,63,503,1797,63,E-12,2p
E,64,503,1799,64,E-13,2p
E,65,503,1801,65,E-14,2p
E,66,503,1803,66,E-15,2p
F,67,503,1805,67,F-1,2p
F,68,503,1807,68,F-2,2p
F,69,503,1809,69,F-3,2p
F,70,503,1811,70,F-4,2p
F,70,503,1812,70,F-4,2p
F,71,503,1813,71,F-5,2p
F,71,503,1814,71,F-5,2p
F,72,503,1815,72,F-6,2p
F,72,503,1816,72,F-6,2p
F,73,503,1817,73,F-7,2p
F,73,503,1818,73,F-7,2p
F,74,503,1820,74,F-8,2p
F,75,503,1822,75,F-9,2p
F,76,503,1824,76,F-10,2p
F,77,503,1826,77,F-11,2p
F,78,503,1828,78,F-12,2p
F,79,503,1830,79,F-13,2p
F,80,503,1832,80,F-14,2p
G,81,503,1834,81,G-1,2p
G,82,503,1836,82,G-2,2p
G,83,503,1838,83,G-3,2p
G,84,503,1840,84,G-4,2p
G,85,503,1842,85,G-5,2p
G,86,503,1844,86,G-6,2p
G,87,503,1846,87,G-7,2p
G,87,503,1847,87,G-7,2p
G,88,503,1848,88,G-8,2p
G,88,503,1849,88,G-8,2p
G,89,503,1851,89,G-9,2p
G,90,503,1853,90,G-10,2p
A,1,767,1670,1,A-1,3p
A,2,767,1672,2,A-2,3p
A,3,767,1674,3,A-3,3p
A,4,767,1676,4,A-4,3p
A,5,767,1678,5,A-5,3p
A,6,767,1680,6,A-6,3p
A,7,767,1682,7,A-7,3p
A,8,767,1684,8,A-8,3p
A,9,767,1686,9,A-9,3p
A,9,767,1687,9,A-9,3p
B,10,767,1688,10,B-1,3p
B,10,767,1689,10,B-1,3p
B,11,767,1691,11,B-2,3p
B,12,767,1693,12,B-3,3p
B,13,767,1695,13,B-4,3p
B,14,767,1697,14,B-5,3p
B,15,767,1699,15,B-6,3p
B,16,767,1701,16,B-7,3p
B,17,767,1703,17,B-8,3p
B,18,767,1705,18,B-9,3p
B,19,767,1707,19,B-10,3p
B,20,767,1709,20,B-11,3p
B,21,767,1711,21,B-12,3p
B,22,767,1713,22,B-13,3p
B,23,767,1715,23,B-14,3p
C,24,767,1717,24,C-1,3p
C,24,767,1718,24,C-1,3p
C,25,767,1719,25,C-2,3p
C,25,767,1720,25,C-2,3p
C,26,767,1722,26,C-3,3p
C,27,767,1724,27,C-4,3p
C,28,767,1726,28,C-5,3p
C,29,767,1728,29,C-6,3p
C,30,767,1730,30,C-7,3p
C,31,767,1732,31,C-8,3p
C,32,767,1734,32,C-9,3p
C,33,767,1736,33,C-10,3p
C,34,767,1738,34,C-11,3p
C,35,767,1740,35,C-12,3p
C,36,767,1742,36,C-13,3p
C,37,767,1744,37,C-14,3p
D,38,767,1746,38,D-1,3p
D,39,767,1749,39,D-2,3p
D,40,767,1750,40,D-3,3p
D,40,767,1751,40,D-3,3p
D,41,767,1752,41,D-4,3p
D,41,767,1753,41,D-4,3p
D,42,767,1755,42,D-5,3p
D,43,767,1757,43,D-6,3p
D,44,767,1759,44,D-7,3p
D,45,767,1761,45,D-8,3p
D,46,767,1763,46,D-9,3p
D,47,767,1765,47,D-10,3p
D,48,767,1767,48,D-11,3p
D,49,767,1769,49,D-12,3p
D,50,767,1771,50,D-13,3p
D,51,767,1773,51,D-14,3p
E,52,767,1775,52,E-1,3p
E,53,767,1777,53,E-2,3p
E,54,767,1779,54,E-3,3p
E,54,767,1780,54,E-3,3p
E,55,767,1781,55,E-4,3p
E,55,767,1782,55,E-4,3p
E,56,767,1783,56,E-5,3p
E,56,767,1784,56,E-5,3p
E,57,767,1786,57,E-6,3p
E,58,767,1788,58,E-7,3p
E,59,767,1790,59,E-8,3p
E,60,767,1792,60,E-9,3p
E,61,767,1794,61,E-10,3p
E,62,767,1796,62,E-11,3p
E,63,767,1798,63,E-12,3p
E,64,767,1800,64,E-13,3p
E,65,767,1802,65,E-14,3p
E,66,767,1804,66,E-15,3p
F,67,767,1806,67,F-1,3p
F,68,767,1808,68,F-2,3p
F,69,767,1810,69,F-3,3p
F,69,767,1811,69,F-3,3p
F,70,767,1812,70,F-4,3p
F,70,767,1813,70,F-4,3p
F,71,767,1814,71,F-5,3p
F,71,767,1815,71,F-5,3p
F,72,767,1817,72,F-6,3p
F,73,767,1819,73,F-7,3p
F,74,767,1821,74,F-8,3p
F,75,767,1823,75,F-9,3p
F,76,767,1825,76,F-10,3p
F,77,767,1827,77,F-11,3p
F,78,767,1829,78,F-12,3p
F,79,767,1831,79,F-13,3p
F,80,767,1833,80,F-14,3p
G,81,767,1835,81,G-1,3p
G,82,767,1837,82,G-2,3p
G,83,767,1839,83,G-3,3p
G,84,767,1841,84,G-4,3p
G,85,767,1843,85,G-5,3p
G,85,767,1844,85,G-5,3p
G,86,767,1845,86,G-6,3p
G,86,767,1846,86,G-6,3p
G,87,767,1848,87,G-7,3p
G,88,767,1850,88,G-8,3p
G,89,767,1852,89,G-9,3p
G,90,767,1854,90,G-10,3p
A,1,1032,1669,1,A-1,4p
A,2,1032,1671,2,A-2,4p
A,3,1032,1673,3,A-3,4p
A,4,1032,1675,4,A-4,4p
A,5,1032,1677,5,A-5,4p
A,6,1032,1679,6,A-6,4p
A,7,1032,1681,7,A-7,4p
A,8,1032,1683,8,A-8,4p
A,9,1032,1685,9,A-9,4p
A,9,1032,1686,9,A-9,4p
A,10,1032,1687,10,A-10,4p
A,10,1032,1688,10,A-10,4p
A,11,1032,1689,11,A-11,4p
A,12,1032,1691,12,A-12,4p
A,12,1032,1692,12,A-12,4p
A,13,1032,1694,13,A-13,4p
A,14,1032,1696,14,A-14,4p
A,15,1032,1698,15,A-15,4p
A,16,1032,1700,16,A-16,4p
A,17,1032,1702,17,A-17,4p
B,18,1032,1704,18,B-1,4p
B,19,1032,1706,19,B-2,4p
B,20,1032,1708,20,B-3,4p
B,21,1032,1710,21,B-4,4p
B,22,1032,1712,22,B-5,4p
B,23,1032,1714,23,B-6,4p
B,24,1032,1716,24,B-7,4p
B,24,1032,1717,24,B-7,4p
B,25,1032,1718,25,B-8,4p
B,25,1032,1719,25,B-8,4p
B,26,1032,1720,26,B-9,4p
B,26,1032,1721,26,B-9,4p
B,27,1032,1722,27,B-10,4p
B,28,1032,1725,28,B-11,4p
B,29,1032,1727,29,B-12,4p
B,30,1032,1729,30,B-13,4p
B,31,1032,1731,31,B-14,4p
C,32,1032,1733,32,C-1,4p
C,33,1032,1735,33,C-2,4p
C,34,1032,1737,34,C-3,4p
C,35,1032,1739,35,C-4,4p
C,36,1032,1741,36,C-5,4p
C,37,1032,1743,37,C-6,4p
C,38,1032,1745,38,C-7,4p
C,39,1032,1747,39,C-8,4p
C,39,1032,1748,39,C-8,4p
D,40,1032,1749,40,D-1,4p
D,40,1032,1750,40,D-1,4p
D,41,1032,1751,41,D-2,4p
D,41,1032,1752,41,D-2,4p
D,42,1032,1753,42,D-3,4p
D,42,1032,1754,42,D-3,4p
D,43,1032,1756,43,D-4,4p
D,44,1032,1758,44,D-5,4p
D,45,1032,1760,45,D-6,4p
D,46,1032,1762,46,D-7,4p
D,47,1032,1764,47,D-8,4p
D,48,1032,1766,48,D-9,4p
D,49,1032,1768,49,D-10,4p
D,50,1032,1770,50,D-11,4p
D,51,1032,1772,51,D-12,4p
D,52,1032,1774,52,D-13,4p
E,53,1032,1776,53,E-1,4p
E,54,1032,1778,54,E-2,4p
E,54,1032,1779,54,E-2,4p
E,55,1032,1780,55,E-3,4p
E,56,1032,1782,56,E-4,4p
E,57,1032,1784,57,E-5,4p
E,57,1032,1785,57,E-5,4p
E,58,1032,1787,58,E-6,4p
E,59,1032,1788,59,E-7,4p
E,59,1032,1789,59,E-7,4p
E,60,1032,1791,60,E-8,4p
